serial,name,value,notes
ACS-152,CC_tcal,19.3,date in filename comes from 'offsets saved' date within factory devfile; source_file OPTAA-D_AC-S_SN_152_Calibration_Files_2026-06-29.zip > acs152.dev
ACS-152,CC_awlngth,"[400.9, 402.3, 403.9, 405.7, 407.3, 409.1, 411.4, 414.1, 417.4, 422.6, 427.8, 432.5, 436.8, 440.5, 444.2, 448.3, 452.3, 456.4, 460.1, 464.1, 468.4, 473.1, 477.5, 482.2, 486.7, 490.7, 494.8, 498.9, 503.3, 507.8, 512.1, 516.8, 521.5, 525.8, 529.9, 533.9, 537.8, 541.8, 546.1, 550.5, 555.0, 559.6, 563.9, 566.8, 570.8, 574.9, 579.1, 583.4, 587.6, 591.8, 596.0, 600.6, 605.1, 609.8, 614.5, 618.9, 623.4, 627.7, 631.7, 635.8, 640.0, 644.3, 648.8, 653.0, 657.3, 661.6, 666.2, 670.1, 674.4, 678.3, 682.2, 685.9, 689.8, 693.2, 696.8, 700.4, 703.7, 707.0, 710.7, 714.2, 718.0, 721.1, 724.4, 727.6, 731.5]",
ACS-152,CC_acwo,"[-0.221274, -0.120628, -0.047373, 0.006754, 0.054466, 0.101276, 0.154057, 0.218313, 0.292084, 0.371246, 0.449884, 0.520815, 0.581988, 0.634840, 0.683312, 0.729435, 0.775819, 0.821748, 0.867713, 0.913489, 0.959312, 1.003292, 1.046581, 1.088685, 1.128907, 1.167055, 1.203204, 1.237546, 1.269692, 1.300206, 1.329819, 1.359271, 1.389143, 1.418835, 1.447413, 1.474859, 1.500845, 1.525356, 1.548388, 1.570618, 1.592049, 1.612792, 1.633179, 1.644202, 1.661021, 1.674873, 1.684883, 1.690357, 1.690543, 1.684717, 1.674711, 1.666070, 1.663922, 1.669745, 1.680197, 1.692320, 1.704405, 1.716198, 1.726970, 1.736948, 1.745298, 1.751272, 1.753530, 1.752520, 1.750807, 1.750709, 1.752803, 1.756196, 1.758582, 1.758290, 1.752660, 1.740764, 1.721249, 1.692428, 1.653210, 1.602098, 1.537320, 1.455439, 1.355409, 1.232954, 1.087353, 0.919965, 0.727514, 0.519665, 0.310163]",
ACS-152,CC_cwlngth,"[400.5, 402.1, 403.7, 405.5, 407.3, 409.3, 411.4, 414.6, 418.5, 423.8, 428.6, 433.6, 437.3, 440.9, 444.9, 449.2, 453.2, 457.3, 461.0, 465.0, 469.4, 474.0, 478.7, 483.1, 487.4, 491.6, 495.6, 500.0, 504.3, 508.8, 513.3, 518.2, 522.5, 526.8, 530.8, 534.8, 538.7, 543.0, 547.3, 551.7, 556.3, 560.6, 565.0, 570.0, 574.1, 578.5, 582.5, 586.8, 590.8, 595.4, 599.9, 604.5, 609.0, 613.7, 618.2, 622.7, 627.0, 631.2, 635.3, 639.7, 643.6, 648.1, 652.4, 656.8, 661.4, 665.5, 669.6, 673.9, 678.0, 681.9, 685.5, 689.0, 692.8, 696.6, 700.2, 703.4, 707.0, 710.3, 713.6, 717.4, 720.9, 724.3, 727.3, 730.8, 734.0]",
ACS-152,CC_ccwo,"[1.739213, 1.822606, 1.944945, 2.061833, 2.160794, 2.229439, 2.253206, 2.215895, 2.125739, 2.018816, 1.924698, 1.867067, 1.846185, 1.850633, 1.856813, 1.871679, 1.867986, 1.869968, 1.864616, 1.853678, 1.833628, 1.826715, 1.812829, 1.797938, 1.785827, 1.773430, 1.760804, 1.748958, 1.737479, 1.727794, 1.722322, 1.721378, 1.724158, 1.728897, 1.734671, 1.737130, 1.739446, 1.740877, 1.739098, 1.734412, 1.731134, 1.727273, 1.718751, 1.707815, 1.696633, 1.681431, 1.663675, 1.641750, 1.614737, 1.583066, 1.552615, 1.527418, 1.512492, 1.505191, 1.501424, 1.498151, 1.493444, 1.491844, 1.488715, 1.484886, 1.477877, 1.468291, 1.453331, 1.439328, 1.426204, 1.414062, 1.406633, 1.400487, 1.388639, 1.372093, 1.352965, 1.325268, 1.290688, 1.244099, 1.189533, 1.119265, 1.035201, 0.931049, 0.807989, 0.658728, 0.487095, 0.294741, 0.083416, -0.134370, -0.337397]",
ACS-152,CC_tbins,"[0.704731, 1.357570, 2.463429, 3.422800, 4.399375, 5.550625, 6.506087, 7.502000, 8.488696, 9.495417, 10.490000, 11.503846, 12.494348, 13.484167, 14.490400, 15.485417, 16.476250, 17.475417, 18.497308, 19.495417, 20.477500, 21.488400, 22.501538, 23.506400, 24.497083, 25.486667, 26.501154, 27.518750, 28.483750, 29.482963, 30.570690, 31.465714, 32.476538, 33.532500, 34.522069, 35.010000]",
ACS-152,CC_taarray,SheetRef:CC_taarray,
ACS-152,CC_tcarray,SheetRef:CC_tcarray,
